Обнаружены следующие ошибки:
Объект - Строка - 18; наименование - Наггетсы Foodgital 0,25кг ТМ Горячая штучка  ПОКОМ в количестве 28 НЕ НАЙДЕН.
Перенос данных из Строка - 38; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка. флоу-пак сфера 0,7 кг ПОКОМ ==> 
	Строка - 114; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004345/","Пельмени «Бульмени с говядиной и свининой» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 180
Перенос данных из Строка - 39; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка. флоу-пак сфера 0,4 кг. ПОКОМ ==> 
	Строка - 116; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004444/","Пельмени «Бульмени со сливочным маслом» Фикс.вес 0,4 ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 40; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка.флоу-пак сфера 0,7 кг. ПОКОМ ==> 
	Строка - 117; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004346/","Пельмени «Бульмени со сливочным маслом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 192
Перенос данных из Строка - 44; наименование - Пельмени Мясорубские с рубленой грудинкой ТМ Стародворье флоупак  0,7 кг. ПОКОМ ==> 
	Строка - 208; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Мясорубская/Пельмени/P003648/","Пельмени «Мясорубские с рубленой грудинкой» 0,7 Классическая форма ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 45; наименование - Пельмени Мясорубские ТМ Стародворье фоупак равиоли 0,7 кг  ПОКОМ ==> 
	Строка - 206; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Мясорубская/Пельмени/P003355/","Пельмени Мясорубские Стародворье ЗПФ 0,7 Равиоли Стародворье"), в количестве 72
Перенос данных из Строка - 46; наименование - Пельмени Отборные из свинины и говядины 0,9 кг ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 224; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003004/","Пельмени Отборные из свинины и говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 24
Перенос данных из Строка - 47; наименование - Пельмени С говядиной и свининой, ВЕС, сфера пуговки Мясная Галерея  ПОКОМ ==> 
	Строка - 174; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/No Name/No Name ЗПФ/Пельмени/P004472/","Пельмени «Пуговки с говядиной и свининой» Весовые Сфера ТМ «No Name» 5 кг"), в количестве 96
Перенос данных из Строка - 48; наименование - Пельмени Со свининой и говядиной ТМ Особый рецепт Любимая ложка 1,0 кг  ПОКОМ ==> 
	Строка - 260; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Особый рецепт/Любимая ложка/Пельмени/P004081/","Пельмени Со свининой и говядиной Любимая ложка 1,0 Равиоли Особый рецепт"), в количестве 96
Перенос данных из Строка - 51; наименование - Пирожки с мясом 3,7кг ВЕС ТМ Зареченские  ПОКОМ ==> 
	Строка - 305; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004359/","«Пирожки с мясом» Весовые ТМ «Зареченские» 3,7 кг"), в количестве 28
Перенос данных из Строка - 53; наименование - Сочный мегачебурек ТМ Зареченские ВЕС ПОКОМ ==> 
	Строка - 294; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003495/","Чебуреки «Сочный мегачебурек» Весовой ТМ «Зареченские» 2,24 кг"), в количестве 112
Перенос данных из Строка - 57; наименование - Хотстеры ТМ Горячая штучка ТС Хотстеры 0,25 кг зам  ПОКОМ ==> 
	Строка - 134; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004489/","Снеки «Хотстеры» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 182
Перенос данных из Строка - 62; наименование - Чебупицца курочка по-итальянски Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 127; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004484/","Снеки «Чебупицца курочка По-итальянски» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 140
Перенос данных из Строка - 63; наименование - Чебупицца Пепперони ТМ Горячая штучка ТС Чебупицца 0.25кг зам  ПОКОМ ==> 
	Строка - 128; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004486/","Снеки «Чебупицца Пепперони» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 168
Перенос данных из Строка - 65; наименование - Чебуреки сочные ВЕС ТМ Зареченские  ПОКОМ ==> 
	Строка - 293; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003476/","Чебуреки «Сочные» Весовые ТМ «Зареченские» 5 кг"), в количестве 60

Количество коробок с  продукцией из первого файла составляет: 2838 шт.
Количество коробок продукции из второго файла составляет: 2796 шт.
