Обнаружены следующие ошибки:
Филедворская по-Стародворски в/у натурин вес 900гр (Стародвор) 30 суток, кг в количестве 120кг НЕ НАЙДЕН.
Химич - не заказывать

##################################################

Перенос данных из Строка - 1; наименование - Ветчина Особая Нежная 2,5кг п/а (Особый Рецепт) 60 суток, кг ==> 
	Строка - 363; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Сосиски/P003364/","Сосиски «Баварские с сыром» Фикс.вес 0,35 п/а ТМ «Стародворье»"), в количестве 17.5
Перенос данных из Строка - 26; наименование - Сосиски Молочные Вязанка молокуши 1,3кг (Стародвор) 40 суток, кг ==> 
	Строка - 111; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Сосиски/P003691/","Сосиски «Молокуши (Вязанка Молочные)» Весовые П/а мгс УВВ ТМ «Вязанка»"), в количестве 150
Перенос данных из Строка - 27; наименование - Сосиски Молочные Вязанка молокуши 450гр МГС ц/о (Стародвор) 40 суток, шт ==> 
	Строка - 112; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Сосиски/P003327/","Сосиски Молокуши (Вязанка Молочные) Вязанка Фикс.вес 0,45 П/а мгс Вязанка"), в количестве 13.5
Перенос данных из Строка - 28; наименование - Сосиски Молочные для Завтрака без свинины 400гр (Особый рецепт) 40 суток, шт ==> 
	Строка - 412; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Сосиски/P002694/","Сосиски Молочные для завтрака Особая Без свинины Фикс.вес 0,4 П/а мгс Особый рецепт"), в количестве 160
Перенос данных из Строка - 29; наименование - Сосиски Молочные для Завтрака без свинины п/а 1,3кг (Славница) 40 суток, кг ==> 
	Строка - 410; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Сосиски/P003972/","Сосиски «Молочные для завтрака» Весовые П/а мгс ТМ «Особый рецепт»"), в количестве 450
Перенос данных из Строка - 30; наименование - Сосиски Сливочные Вязанка Сливушки 450гр МГС  (Стародвор) 40 суток, шт ==> 
	Строка - 136; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушки/Сосиски/P003160/","Сосиски Сливочные Сливушки Фикс.вес 0,45 П/а мгс Вязанка"), в количестве 13.5
Перенос данных из Строка - 32; наименование - Сосиски Ганноверские Бордо Весовые П/а Стародворье ==> 
	Строка - 328; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Сосиски/P002209/","Сосиски Ганноверские Бордо Весовые П/а мгс Баварушка"), в количестве 400
Перенос данных из Строка - 33; наименование - Сочинка По Европейски 0,8 ==> 
	Строка - 208; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Копченые колбасы/P003387/","В/к колбасы «Сочинка по-европейски с сочной грудинкой» Весовой фиброуз ТМ «Стародворье»"), в количестве 24
Перенос данных из Строка - 34; наименование - Со шпиком Дугушка   вес (Стародворье) 55 суток, кг ==> 
	Строка - 494; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004406/","Вареные колбасы «Дугушка со шпиком» Весовой Вектор ТМ «Дугушка»"), в количестве 20
Перенос данных из Строка - 35; наименование - Ветчина Дугушка  вес (Стародворье) 55 суток, кг ==> 
	Строка - 505; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Ветчины/P003146/","Ветчины Дугушка Дугушка Вес б/о Дугушка"), в количестве 30
Перенос данных из Строка - 36; наименование - Салями Филейбург зернист  в/к 700гр (Стародвор) 45 суток ru ==> 
	Строка - 429; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P004515/","В/к колбасы Салями Филейбургская зернистая Филейбургская Весовые фиброуз в/у Баварушка"), в количестве 24
Перенос данных из Строка - 37; наименование - Колбаса Вязанка со шпиком 1,3 вес 60 суток, ==> 
	Строка - 164; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Вареные колбасы/P003690/","Вареные колбасы «Вязанка со шпиком» Весовые Вектор УВВ ТМ «Вязанка»"), в количестве 30
Перенос данных из Строка - 38; наименование - Сервелат Кремлевский в/к 700гр (Стародворье) 40 суток, кг ==> 
	Строка - 322; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Копченые колбасы/P003013/","В/к колбасы Кремлевский Бордо Весовые Фиброуз в/у Стародворье"), в количестве 24
Перенос данных из Строка - 39; наименование - Сервелат Кремлевский в/к 350гр (Стародворье) 40 суток, кг Срез ==> 
	Строка - 324; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Копченые колбасы/P003012/","В/к колбасы Кремлевский срез Бордо Фикс.вес 0,35 Фиброуз в/у Стародворье"), в количестве 14
Перенос данных из Строка - 40; наименование - Салями Филейбург зернист  в/к 350гр (Стародвор) 45 суток шт ==> 
	Строка - 435; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P003139/","В/к колбасы Салями Филейбургская зернистая срез Филейбургская Фикс.вес 0,35 фиброуз Баварушка"), в количестве 10.5
Перенос данных из Строка - 41; наименование - Мясорубская  в/к 350гр (Стародвор) 45 суток шт ==> 
	Строка - 189; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Мясорубская/Копченые колбасы/P003256/","Колбаса Мясорубская ТМ Стародворье с рубленой грудинкой в оболочке фиброуз в вакуумной упаковке 0,35 кг срез"), в количестве 21
Перенос данных из Строка - 42; наименование - Филейбургская с сочным окороком в/к в/у 700гр (Стародвор) 45 суток, кг ==> 
	Строка - 431; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P004336/","В/к колбасы Филейбургская с сочным окороком Филейбургская Весовые фиброуз в/у Баварушка"), в количестве 30
Перенос данных из Строка - 43; наименование - Колбаса вареная Мусульманская ТМ Вязанка Халяль вектор ф/в 0,4 кг Казахстан АК ==> 
	Строка - 148; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Вареные колбасы/P003437/","Колбаса вареная Мусульманская ТМ Вязанка Халяль вектор ф/в 0,4 кг Казахстан АК"), в количестве 12
Перенос данных из Строка - 45; наименование - Колбаса полукопченая Аль-Ислами ТМ Вязанка Халяль фиброуз в/у ф/в 0,35 кг Казахстан АК ==> 
	Строка - 153; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Копченые колбасы/P003439/","П/к колбасы «Аль-Ислами халяль» ф/в 0,35 фиброуз ТМ «Вязанка»"), в количестве 10.5
Перенос данных из Строка - 47; наименование - Сосиски Восточные халяль ТМ Вязанка полиамид в/у ф/в 0,33 кг Казахстан АК ==> 
	Строка - 158; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Сосиски/P003438/","Сосиски Восточные халяль ТМ Вязанка полиамид в/у ф/в 0,33 кг Казахстан АК"), в количестве 9.9
Перенос данных из Строка - 49; наименование - Сочинка зернистая 0,8 ==> 
	Строка - 210; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Копченые колбасы/P003383/","П/к колбасы «Сочинка зернистая с сочной грудинкой» Весовой фиброуз ТМ «Стародворье»"), в количестве 9
Перенос данных из Строка - 50; наименование - Сервелат Левантский 0,7 ==> 
	Строка - 405; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Копченые колбасы/P004227/","В/к колбасы Сервелат Левантский Особая Без свинины Весовые в/у Особый рецепт"), в количестве 50
Перенос данных из Строка - 51; наименование - Сочинка По Фински 0,8 ==> 
	Строка - 209; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Копченые колбасы/P003401/","В/к колбасы «Сочинка по-фински с сочным окороком» Весовой фиброуз ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 52; наименование - Вязанка салями Финская 0,7 ==> 
	Строка - 171; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Копченые колбасы/P002177/","В/к колбасы Салями Финская Вязанка Весовые Фиброуз в/у Вязанка"), в количестве 12
Перенос данных из Строка - 53; наименование - Вязанка сервелат Столичный 0,7 ==> 
	Строка - 172; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Копченые колбасы/P002179/","В/к колбасы Столичный Вязанка Весовые Фиброуз в/у Вязанка"), в количестве 30

Вес продукции из первого файла: 5059.9
Вес продукции во втором файле составляет: 4939.9
