Обнаружены следующие ошибки:
Объект - Строка - 208; наименование - Сосиски Сочинки с сыром Бордо ф/в 0,4 кг п/а Стародворье в количестве 100 НЕ НАЙДЕН.
	Строка - 113; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушка/Ветчины/P004607/","Ветчины «Сливушка с индейкой» вес п/а ТМ «Вязанка»"), в количестве 100
Перенос данных из Строка - 109; наименование - Сосиски «Вязанка Сливочные» Весовые П/а мгс ТМ «Вязанка» ==> 
	Строка - 120; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушка/Сосиски/P003905/","Сосиски «Вязанка Сливочные» Весовые П/а мгс ТМ «Вязанка»"), в количестве 400
Перенос данных из Строка - 113; наименование - Сосиски Сливочные Сливушки Фикс.вес 0,45 П/а мгс Вязанка ==> 
	Строка - 125; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушка/Сосиски/P003160/","Сосиски Сливочные Сливушки Фикс.вес 0,45 П/а мгс Вязанка"), в количестве 400
Перенос данных из Строка - 126; наименование - Колбаса вареная Мусульманская халяль ТМ Вязанка вектор ф/в 0,4 кг НД Узбекистан АК ==> 
	Строка - 138; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Халяль/Вареные колбасы/P003441/","Колбаса вареная Мусульманская халяль ТМ Вязанка вектор ф/в 0,4 кг НД Узбекистан АК"), в количестве 200
Перенос данных из Строка - 131; наименование - П/к колбасы «Аль-Ислами халяль» ф/в 0,35 фиброуз ТМ «Вязанка» ==> 
	Строка - 143; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Халяль/Копченые колбасы/P003439/","П/к колбасы «Аль-Ислами халяль» ф/в 0,35 фиброуз ТМ «Вязанка»"), в количестве 200
Перенос данных из Строка - 190; наименование - П/к колбасы «Сочинка зернистая с сочной грудинкой» Весовой фиброуз ТМ «Стародворье» ==> 
	Строка - 203; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Копченые колбасы/P003383/","П/к колбасы «Сочинка зернистая с сочной грудинкой» Весовой фиброуз ТМ «Стародворье»"), в количестве 250
Перенос данных из Строка - 191; наименование - П/к колбасы «Сочинка рубленая с сочным окороком» Весовой фиброуз ТМ «Стародворье» ==> 
	Строка - 204; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Копченые колбасы/P003384/","П/к колбасы «Сочинка рубленая с сочным окороком» Весовой фиброуз ТМ «Стародворье»"), в количестве 250
Перенос данных из Строка - 199; наименование - Сосиски «Сочинки Молочные» Весовой п/а мгс ТМ «Стародворье» ==> 
	Строка - 212; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003263/","Сосиски «Сочинки Молочные» Весовой п/а мгс ТМ «Стародворье»"), в количестве 300
Перенос данных из Строка - 201; наименование - Сосиски «Сочинки Сливочные» Весовые ТМ «Стародворье» 1,35 кг ==> 
	Строка - 213; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003266/","Сосиски «Сочинки Сливочные» Весовые ТМ «Стародворье» 1,35 кг"), в количестве 300
Перенос данных из Строка - 203; наименование - Сосиски «Сочинки Молочные» Фикс.вес 0,4 п/а мгс ТМ «Стародворье» ==> 
	Строка - 215; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003262/","Сосиски «Сочинки Молочные» Фикс.вес 0,4 п/а мгс ТМ «Стародворье»"), в количестве 250
Перенос данных из Строка - 205; наименование - Сосиски «Сочинки с сочной грудинкой» Фикс.вес 0,4 П/а мгс ТМ «Стародворье» ==> 
	Строка - 217; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003957/","Сосиски «Сочинки с сочной грудинкой» Фикс.вес 0,4 П/а мгс ТМ «Стародворье»"), в количестве 200
Перенос данных из Строка - 206; наименование - Сосиски «Сочинки с сочным окороком» Фикс.вес 0,4 П/а мгс ТМ «Стародворье» ==> 
	Строка - 218; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003958/","Сосиски «Сочинки с сочным окороком» Фикс.вес 0,4 П/а мгс ТМ «Стародворье»"), в количестве 200
Перенос данных из Строка - 209; наименование - Сосиски «Сочинки Сливочные» Фикс.вес 0,4 п/а мгс ТМ «Стародворье» ==> 
	Строка - 220; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка/Сосиски/P003265/","Сосиски «Сочинки Сливочные» Фикс.вес 0,4 п/а мгс ТМ «Стародворье»"), в количестве 250
Перенос данных из Строка - 274; наименование - Сосиски «Сочинки по-баварски с сыром» Фикс.вес 0,4 П/а мгс ТМ «Стародворье» ==> 
	Строка - 279; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка по-баварски/Сосиски/P003475/","Сосиски «Сочинки по-баварски с сыром» Фикс.вес 0,4 П/а мгс ТМ «Стародворье»"), в количестве 100
Перенос данных из Строка - 275; наименование - Сосиски Сочинки по-баварски Бавария Фикс.вес 0,4 П/а мгс Стародворье ==> 
	Строка - 280; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Сочинка по-баварски/Сосиски/P003217/","Сосиски Сочинки по-баварски Бавария Фикс.вес 0,4 П/а мгс Стародворье"), в количестве 100
Перенос данных из Строка - 359; наименование - Сардельки «Стародворские с говядиной» Весовые NDX ТМ «Стародворье» ==> 
	Строка - 344; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Сардельки/P002536/","Сардельки «Стародворские с говядиной» Весовые NDX ТМ «Стародворье»"), в количестве 300
Перенос данных из Строка - 383; наименование - Сосиски «Баварские» Фикс.вес 0,35 П/а ТМ «Стародворье» ==> 
	Строка - 368; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бавария/Сосиски/P003363/","Сосиски «Баварские» Фикс.вес 0,35 П/а ТМ «Стародворье»"), в количестве 100
Перенос данных из Строка - 391; наименование - Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 376; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004303/","Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 500
Перенос данных из Строка - 392; наименование - Вареные колбасы «Со шпиком» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 377; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004257/","Вареные колбасы «Со шпиком» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 500
Перенос данных из Строка - 395; наименование - Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 379; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004252/","Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 500
Перенос данных из Строка - 403; наименование - Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон ==> 
	Строка - 388; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Ветчины/P002555/","Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон"), в количестве 700
Перенос данных из Строка - 424; наименование - Вареные колбасы «Филейная Оригинальная» Весовой п/а ТМ «Особый рецепт» ==> 
	Строка - 406; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Вареные колбасы/P004273/","Вареные колбасы «Филейная Оригинальная» Весовой п/а ТМ «Особый рецепт»"), в количестве 200
Перенос данных из Строка - 434; наименование - Сосиски «Молочные для завтрака» Весовой п/а ТМ «Особый рецепт» ==> 
	Строка - 416; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Сосиски/P004844/","Сосиски «Молочные для завтрака» Весовой п/а ТМ «Особый рецепт»"), в количестве 1200
Перенос данных из Строка - 501; наименование - Вареные колбасы «Дугушка со шпиком» Весовой Вектор ТМ «Дугушка» ==> 
	Строка - 481; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004406/","Вареные колбасы «Дугушка со шпиком» Весовой Вектор ТМ «Дугушка»"), в количестве 200
Перенос данных из Строка - 502; наименование - Вареные колбасы «Дугушка Стародворская» Вес п/а ТМ «Дугушка» ==> 
	Строка - 482; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P002989/","Вареные колбасы «Дугушка Стародворская» Вес п/а ТМ «Дугушка»"), в количестве 1500
Перенос данных из Строка - 504; наименование - Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка» ==> 
	Строка - 483; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004030/","Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка»"), в количестве 3000
Перенос данных из Строка - 526; наименование - В/к колбасы «Рубленая Запеченная» Весовые Вектор ТМ «Дугушка» ==> 
	Строка - 505; наименование - В/к колбасы «Рубленая Запеченная» Весовые Вектор ТМ «Дугушка», в количестве 200
Перенос данных из Строка - 527; наименование - В/к колбасы «Салями Запеченая» Весовые ТМ «Дугушка» ==> 
	Строка - 506; наименование - В/к колбасы «Салями Запеченая» Весовые ТМ «Дугушка», в количестве 200

Вес продукции из первого файла: 15250
Вес продукции во втором файле составляет: 14650
